Conservation Unit,Brood Year,rec2,rec3,rec4,rec5,total rec (4+5),effective female spawners,DUID
Takla-Trembleur-Stuart-S,2012,NA,NA,NA,NA,NA,0.031771,21
Takla-Trembleur-Stuart-S,2013,NA,NA,NA,NA,NA,0.070946,21
Francois-Fraser-S,1948,0,0,0.185175,0.022002,0.207177,0.009242,7
Francois-Fraser-S,1949,0,0.000133,0.173402,0.006341,0.179743,0.040231,7
Francois-Fraser-S,1950,0,0.00463,0.903768,0.030719,0.934487,0.07741,7
Francois-Fraser-S,1951,0,0.000026,0.354049,0.101292,0.455341,0.051413,7
Francois-Fraser-S,1952,0,0.000023,0.093984,0.016694,0.110678,0.01992,7
Francois-Fraser-S,1953,0,0.00003,0.156192,0.018023,0.174215,0.020388,7
Francois-Fraser-S,1954,0,0.003311,1.140205,0.067783,1.207988,0.072273,7
Francois-Fraser-S,1955,0,0.000028,0.602677,0.027091,0.629768,0.029937,7
Francois-Fraser-S,1956,0,0.000092,0.2204,0.026243,0.246643,0.021686,7
Francois-Fraser-S,1957,0,0.000008,0.143835,0.008,0.151835,0.018044,7
Francois-Fraser-S,1958,0,0.001156,0.323089,0.016215,0.339304,0.061581,7
Francois-Fraser-S,1959,0,0.000017,0.514918,0.026485,0.541403,0.041872,7
Francois-Fraser-S,1960,0,0.000019,0.14334,0.021155,0.164495,0.022718,7
Francois-Fraser-S,1961,0,0.000288,0.137046,0.010068,0.147114,0.018136,7
Francois-Fraser-S,1962,0,0.0001,0.572029,0.017376,0.589405,0.044532,7
Francois-Fraser-S,1963,0,0.000977,0.713487,0.013462,0.726949,0.041535,7
Francois-Fraser-S,1964,0,0.000194,0.170674,0.006969,0.177643,0.016161,7
Francois-Fraser-S,1965,0,0.000179,0.2311,0.012372,0.243472,0.020479,7
Francois-Fraser-S,1966,0,0.000833,0.336316,0.022757,0.359073,0.051509,7
Francois-Fraser-S,1967,0,0.000288,0.531886,0.01835,0.550236,0.032467,7
Francois-Fraser-S,1968,0,0.000085,0.1259,0.003837,0.129737,0.01368,7
Francois-Fraser-S,1969,0,0.000131,0.235729,0.017385,0.253114,0.025629,7
Francois-Fraser-S,1970,0,0.00117,0.228808,0.00413,0.232938,0.026727,7
Francois-Fraser-S,1971,0,0.000496,0.508759,0,0.508759,0.020147,7
Francois-Fraser-S,1972,0,0.000204,0.711226,0.044784,0.75601,0.019938,7
Francois-Fraser-S,1973,0,0.000011,0.075813,0.010077,0.08589,0.015424,7
Francois-Fraser-S,1974,0,0.001823,0.281752,0.019534,0.301286,0.023718,7
Francois-Fraser-S,1975,0,0.003852,1.832708,0.064645,1.897353,0.068451,7
Francois-Fraser-S,1976,0,0.00015,0.216701,0.027506,0.244207,0.063865,7
Francois-Fraser-S,1977,0,0.000074,0.209138,0.056488,0.265626,0.010894,7
Francois-Fraser-S,1978,0,0.00086,0.388505,0.04804,0.436545,0.032528,7
Francois-Fraser-S,1979,0,0.000031,0.478737,0.145156,0.623893,0.152583,7
Francois-Fraser-S,1980,0,0.000207,0.535944,0.219255,0.755199,0.028477,7
Francois-Fraser-S,1981,0,0.000028,0.234136,0.051734,0.28587,0.01203,7
Francois-Fraser-S,1982,0,0.0019,0.309369,0.046504,0.355873,0.034888,7
Francois-Fraser-S,1983,0,0.001129,1.097744,0.158607,1.256351,0.061357,7
Francois-Fraser-S,1984,0,0.00017,0.744589,0.26643,1.011019,0.032672,7
Francois-Fraser-S,1985,0,0.000087,0.097659,0.030996,0.128655,0.021969,7
Francois-Fraser-S,1986,0,0.000023,0.445398,0.116424,0.561822,0.044564,7
Francois-Fraser-S,1987,0,0.000014,0.353471,0.082191,0.435662,0.098179,7
Francois-Fraser-S,1988,0,0.000158,0.566227,0.425114,0.991341,0.200537,7
Francois-Fraser-S,1989,0,0.000028,0.127212,0.095047,0.222259,0.015903,7
Francois-Fraser-S,1990,0,0.001145,0.861027,0.089664,0.950691,0.056537,7
Francois-Fraser-S,1991,0,0.000259,0.299039,0.037271,0.33631,0.054349,7
Francois-Fraser-S,1992,0,0.000275,0.734393,0.133793,0.868186,0.055138,7
Francois-Fraser-S,1993,0,0.000013,0.068158,0.241673,0.309831,0.042861,7
Francois-Fraser-S,1994,0,0.000127,0.593409,0.088649,0.682058,0.063584,7
Francois-Fraser-S,1995,0,0.000075,0.127344,0.05654,0.183884,0.041135,7
Francois-Fraser-S,1996,0,0.000016,0.635499,0.176479,0.811978,0.167624,7
Francois-Fraser-S,1997,0,0,0.068515,0.056658,0.125173,0.023241,7
Francois-Fraser-S,1998,0,0.000073,0.504421,0.133503,0.637924,0.096961,7
Francois-Fraser-S,1999,0,0,0.143988,0.030474,0.174462,0.06608,7
Francois-Fraser-S,2000,0,0,0.647582,0.070089,0.717671,0.195386,7
Francois-Fraser-S,2001,0,0,0.20341,0.083718,0.287128,0.06159,7
Francois-Fraser-S,2002,0,0.000047,0.224262,0.024066,0.248328,0.177618,7
Francois-Fraser-S,2003,0,0.000005,0.034522,0.014605,0.049127,0.043829,7
Francois-Fraser-S,2004,0,0.000153,0.213103,0.032642,0.245745,0.053755,7
Francois-Fraser-S,2005,0,0.000012,0.006639029,0.004885,0.011524029,0.102247,7
Francois-Fraser-S,2006,0,0.000087,0.391375934,0.080559,0.471934934,0.079834,7
Francois-Fraser-S,2007,0,0.00002,0.112036032,NA,NA,0.019626,7
Francois-Fraser-S,2008,NA,NA,NA,NA,NA,0.073798,7
Francois-Fraser-S,2009,NA,NA,NA,NA,NA,0.01577,7
Francois-Fraser-S,2010,NA,NA,NA,NA,NA,0.109383,7
Francois-Fraser-S,2011,NA,NA,NA,NA,NA,0.025856,7
Francois-Fraser-S,2012,NA,NA,NA,NA,NA,0.050572,7
Francois-Fraser-S,2013,NA,NA,NA,NA,NA,0.05413,7
Bowron-ES,1948,0,0,0.080266,0,0.080266,0.012826,2
Bowron-ES,1949,0,0.000045,0.062746,0,0.062746,0.010721,2
Bowron-ES,1950,0,0.00055,0.065365,0.009633,0.074998,0.007298,2
Bowron-ES,1951,0,0.000378,0.103443,0,0.103443,0.01004,2
Bowron-ES,1952,0,0.000008,0.036992,0.006304,0.043296,0.008568,2
Bowron-ES,1953,0,0.000003,0.070599,0.004977,0.075576,0.005734,2
