Year,Watershed Group Name,Stock Name(stream),Timing Group,Name,Total,jacks,males,females,spawn%,eff_fem,fpsm,DUID,
1996,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,30868,140,13329,17399,24.97,4345,13054,1,
1996,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,69585,315,30048,39222,24.97,9794,29428,1,
1999,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,4419,372,1308,2739,63.38,1736,1003,1,
1999,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,88,0,42,46,63.38,29,17,1,
2000,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,32619,198,18865,13556,31.82,4314,9242,1,
2000,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,56770,544,30058,26168,46.84,12257,13911,1,
2001,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,12856,394,4528,7934,48.72,3865,4069,1,
2001,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,473,14,167,292,48.72,142,150,1,
2002,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,3574,1623,670,1281,85.52,1096,185,1,
2002,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,1107,885,159,63,76.47,48,15,1,
2003,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,9499,568,3396,5535,81.46,4519,1016,1,
2003,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,936,56,335,545,94.83,517,28,1,
2005,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,14224,1094,4596,8534,89.88,7671,863,1,
2005,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,2188,168,707,1313,89.88,1180,133,1,
2004,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,9139,290,3057,5792,87.14,5047,745,1,
2004,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,782,25,261,496,88,436,60,1,
2006,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,3071,213,833,2025,71.92,1456,569,1,
2006,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
2007,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,2898,343,1128,1427,75.6,1079,348,1,
2007,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
2009,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,5704,514,2100,3090,89.68,2771,319,1,
2009,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,5152,464,1897,2791,89.68,2503,288,1,
2013,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,43927,1687,19864,22376,79.11,17702,4674,1,
2013,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,13282,700,6072,6510,84.44,5302,1208,1,
2013,Seton-Anderson,Anderson Lake - shore,T2,Anderson-Seton - Early Summer,117,0,55,62,79.11,49,13,1,
