Proposed DU Name,DUID,Year,EFS
Harrison River (River-Type),23,1956,1266
Harrison River (River-Type),23,1957,1820
Harrison River (River-Type),23,1958,6404
Harrison River (River-Type),23,1959,17657
Harrison River (River-Type),23,1960,7076
Harrison River (River-Type),23,1961,21725
Harrison River (River-Type),23,1962,4155
Harrison River (River-Type),23,1963,9803
Harrison River (River-Type),23,1964,1101
Harrison River (River-Type),23,1965,7779
Harrison River (River-Type),23,1966,9295
Harrison River (River-Type),23,1967,12672
Harrison River (River-Type),23,1968,2854
Harrison River (River-Type),23,1969,7559
Harrison River (River-Type),23,1970,6471
Harrison River (River-Type),23,1971,1970
Harrison River (River-Type),23,1972,794
Harrison River (River-Type),23,1973,1571
Harrison River (River-Type),23,1974,8709
Harrison River (River-Type),23,1975,3381
Harrison River (River-Type),23,1976,2933
Harrison River (River-Type),23,1977,1374
Harrison River (River-Type),23,1978,10488
Harrison River (River-Type),23,1979,20234
Harrison River (River-Type),23,1980,2262
Harrison River (River-Type),23,1981,1788
Harrison River (River-Type),23,1982,4686
Harrison River (River-Type),23,1983,2132
Harrison River (River-Type),23,1984,689
Harrison River (River-Type),23,1985,1825
Harrison River (River-Type),23,1986,4145
Harrison River (River-Type),23,1987,2686
Harrison River (River-Type),23,1988,947
Harrison River (River-Type),23,1989,1997
Harrison River (River-Type),23,1990,1888
Harrison River (River-Type),23,1991,7958
Harrison River (River-Type),23,1992,172
Harrison River (River-Type),23,1993,2271
Harrison River (River-Type),23,1994,6087
Harrison River (River-Type),23,1995,6758
Harrison River (River-Type),23,1996,8255
Harrison River (River-Type),23,1997,1084
Harrison River (River-Type),23,1998,3012
Harrison River (River-Type),23,1999,5592
Harrison River (River-Type),23,2000,1745
Harrison River (River-Type),23,2001,8335
Harrison River (River-Type),23,2002,24384
Harrison River (River-Type),23,2003,6043
Harrison River (River-Type),23,2004,986
Harrison River (River-Type),23,2005,211547
Harrison River (River-Type),23,2006,90944
Harrison River (River-Type),23,2007,57444
Harrison River (River-Type),23,2008,4409
Harrison River (River-Type),23,2009,100603
Harrison River (River-Type),23,2010,399661
Harrison River (River-Type),23,2011,387080
